,location_id,rank,true product,true product's sales,predicted product,predicted product's true sales,predicted product's true rank,predicted product sells at fraction of locations,predicted product's average rank at locations selling it
25,"""01aa6102-a054-4f25-a747-a39a4ea86769""",26,Swifen Suspension 100ml,6.0,Tab Brustan-N,,,0.4,23
26,"""01aa6102-a054-4f25-a747-a39a4ea86769""",27,Grenocid Suspension,6.0,P-Alaxin 40/320mg Tablets x9,,,0.42,62
27,"""01aa6102-a054-4f25-a747-a39a4ea86769""",28,Visita Plus 30g Cream,6.0,Moko Iodine,3.0,65,0.16,80
28,"""01aa6102-a054-4f25-a747-a39a4ea86769""",29,Orheptal Tonic 100ml,6.0,Amatem 80/480 Softgel x6,,,0.54,16
29,"""01aa6102-a054-4f25-a747-a39a4ea86769""",30,Peace Tonic 200ml,6.0,Codolin 100ml Cough Syrup,5.0,33,0.11,38
30,"""01aa6102-a054-4f25-a747-a39a4ea86769""",31,Zolat 100mg/5ml Suspension x20ml,5.0,Syr Astymin x200ml,3.0,57,0.36,63
31,"""01aa6102-a054-4f25-a747-a39a4ea86769""",32,Nospamin Drops,5.0,Coflin Expectorant x100ml,3.0,60,0.45,53
32,"""01aa6102-a054-4f25-a747-a39a4ea86769""",33,Codolin 100ml Cough Syrup,5.0,Vitamin C Drops,3.0,64,0.13,97
33,"""01aa6102-a054-4f25-a747-a39a4ea86769""",34,Vatem 20/120 x 24 Tablets,5.0,Emzor Paracetamol 500mg Tablets x96,3.0,55,0.42,36
34,"""01aa6102-a054-4f25-a747-a39a4ea86769""",35,Vatem 80/480mg Tablets x6,5.0,Tumol 500 10 x 10 Caplets,5.0,36,0.03,72
35,"""01aa6102-a054-4f25-a747-a39a4ea86769""",36,Tumol 500 10 x 10 Caplets,5.0,Nospamin Drops,5.0,32,0.32,82
36,"""01aa6102-a054-4f25-a747-a39a4ea86769""",37,Ytacan  25g Cream,5.0,Super Apeti 2 x 10 Tablets,3.0,75,0.12,94
37,"""01aa6102-a054-4f25-a747-a39a4ea86769""",38,Derosa Blood Tonic 200ml,5.0,Vamirex Syrup 100ml,10.0,15,0.03,106
38,"""01aa6102-a054-4f25-a747-a39a4ea86769""",39,Sumo Active Syrup 200ml,5.0,Em-Vit-C 100ml Syrup,2.0,78,0.44,34
39,"""01aa6102-a054-4f25-a747-a39a4ea86769""",40,Brustan-N 60ml Syrup,4.0,Funbact A 30g Cream,2.0,79,0.43,34
40,"""01aa6102-a054-4f25-a747-a39a4ea86769""",41,Lonart 20/120mg Tablets x24,4.0,Orheptal Tonic 100ml,6.0,29,0.1,86
41,"""01aa6102-a054-4f25-a747-a39a4ea86769""",42,Zolat 200mg Tablets x2,4.0,Bunto Blood Caps x100,2.0,88,0.28,76
42,"""01aa6102-a054-4f25-a747-a39a4ea86769""",43,Oceanic Cod Liver Oil 1000mg Capsules x30,4.0,Loratadine (Afrab) Syrup 60ml,,,0.35,74
43,"""01aa6102-a054-4f25-a747-a39a4ea86769""",44,Pyrantrin 15ml Suspension,4.0,Tribotan Adult,,,0.21,103
44,"""01aa6102-a054-4f25-a747-a39a4ea86769""",45,Arenax Plus 20/120 x6 Tablets,4.0,Gestid 200ml Suspension,2.0,80,0.53,39
45,"""01aa6102-a054-4f25-a747-a39a4ea86769""",46,Amatem 20/120mg x24 Softgels,4.0,Contact Cold Capsule,2.0,110,0.14,74
46,"""01aa6102-a054-4f25-a747-a39a4ea86769""",47,Vamiron Capsule x30,4.0,Epiderm Cream 30g,2.0,98,0.21,99
47,"""01aa6102-a054-4f25-a747-a39a4ea86769""",48,Gecrol 1 x 100ml Suspension,4.0,M&B Paracetamol Syrup 1 X 60ml Bottle,7.0,21,0.39,35
48,"""01aa6102-a054-4f25-a747-a39a4ea86769""",49,Gecrol Suspension 200ml,4.0,Lonart 20/120mg Tablets x24,4.0,41,0.3,56
49,"""01aa6102-a054-4f25-a747-a39a4ea86769""",50,Pain Go,4.0,Oceanic Cod Liver Oil 1000mg Capsules x30,4.0,43,0.24,53
50,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",1,Ibucap x20,5.0,Bunto blood Tonic x300ml,,,0.28,74
51,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",2,Lofnac Tablets x10,5.0,Amatem 80/480 Softgel x6,,,0.54,16
52,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",3,Nutravit Syrup 100ml,5.0,Postinor 2,,,0.41,32
53,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",4,Chlorpheniramine 10mg/ml Injection x10,5.0,Meprasil x20,,,0.19,54
54,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",5,Fleming 1000mg x14,4.0,Tab Brustan-N,,,0.4,23
55,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",6,Imodium 2mg Capsules x6,4.0,Panadol Extra,,,0.54,65
56,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",7,Zentel 200mg Tablets x2,3.0,De-Deon's Syrup 280ml,,,0.36,53
57,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",8,Woodward's Gripe Water (Big Size) 150ml,3.0,Broncholyte 4mg/5ml Elixir x100ml,,,0.37,81
58,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",9,Actifed Tablets,3.0,Gestid 200ml Suspension,,,0.53,39
59,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",10,Zinnat Tablets 500mg x10,3.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,,,0.43,31
60,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",11,K-Y Jelly 50g,3.0,Lonart 20/120mg Tablets x24,,,0.3,56
61,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",12,Lincomman Capsules x12,3.0,Neofylin Cough Syrup,,,0.42,47
62,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",13,Hovimax 250mg Tablets x6,3.0,Babyrex Baby Mixture x60ml,,,0.41,52
63,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",14,Ascomed Vitamin C 100mg (Chewable) Tablets x100,3.0,Bonababe Syrup,1.0,37,0.55,35
64,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",15,Lonart DS 80/480mg Tablets x6,2.0,Bunto Blood Caps x100,,,0.28,76
65,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",16,Coflin Cough Linctus x100ml,2.0,Lonart DS 80/480mg Tablets x6,2.0,15,0.51,27
66,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",17,Gynaecocid Tabs,2.0,M&B Paracetamol Syrup 1 X 60ml Bottle,,,0.39,35
67,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",18,Coartem 20/120mg x6 Tablets,2.0,Glucophage 500mg Tablets x30,,,0.32,79
68,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",19,Lokmal QS Combi,2.0,Methylated Spirit (Moko) x200ml,,,0.35,51
69,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",20,Wellwoman Original Tablets x30,2.0,Brustan-N 100mg/5ml Suspension x100ml,,,0.53,28
70,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",21,Meyer's B-Complex Tabs x100,2.0,Emzolyn Cough Syrup Adult,,,0.49,48
71,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",22,Lofnac Plus Tablets x10,2.0,Coflin Expectorant x100ml,,,0.45,53
72,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",23,Neurovite Forte Tablet x100,2.0,Em-Vit-C 100ml Syrup,,,0.44,34
73,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",24,Anorol 10x10 Tab,2.0,Coartem 80/480mg Tablets x6,,,0.5,39
74,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",25,Dermazin Cream 50g Cream,2.0,Pyrantrin Tablet x6,,,0.43,38
75,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",26,Orphesic x100 Tablets,2.0,Tab Boska x20,,,0.33,53
76,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",27,Biocine 500mg Capsules x20,2.0,Emzor Paracetamol 500mg Tablets x96,,,0.42,36
77,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",28,Rophegan Promethazine 100ml Syrup,2.0,Artequick 62.5/375mg Tablets x4,,,0.43,48
78,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",29,Nature's Field Vitamin C 1000mg Tablets 1x10x10,2.0,Tab Loxagyl 400mg,1.0,32,0.31,77
79,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",30,Syrup Paracetamol 125mg/5ml (Emzor),1.0,Amalar 500/25mg Tablets x3,,,0.23,30
80,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",31,Ruzu Bitters x200ml,1.0,Syr Astymin x200ml,,,0.36,63
81,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",32,Tab Loxagyl 400mg,1.0,Funbact A 30g Cream,,,0.43,34
82,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",33,Livolin Forte Capsules x30,1.0,Ciprotab 500mg Tablets x10,,,0.39,37
83,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",34,Omega H3 Capsules x30,1.0,Menthodex Syrup,,,0.37,63
84,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",35,Well Woman Plus + Omega 3 x60,1.0,NGC Cough Syrup (Adult) x100ml,,,0.4,61
85,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",36,Strepsils (Honey and Lemon) ×24,1.0,Calcitone Tabs 100,,,0.24,77
86,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",37,Bonababe Syrup,1.0,Ibucap x20,5.0,1,0.17,26
87,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",38,Cenpain Night,1.0,Fleming 1000mg x14,4.0,5,0.33,78
88,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",39,Strepsils (Orange + Vitamin C) x24,1.0,Clofenac 50mg Tablets x100,,,0.29,129
89,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",40,Strepsils (Intensive) ×16,1.0,Tab Paracetamol (M&B) 500mg x96,,,0.38,23
90,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",41,Tab Vega 100,1.0,Aboniki Balm,,,0.41,23
91,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",42,Diabetmin 500mg Tablets x100,1.0,Camosunate Adult 300/100mg Tablets x12,,,0.35,72
92,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",43,Felxicam 20mg Capsules x100,1.0,Ors G Oral,,,0.36,46
93,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",44,Danacid Tablets x96,1.0,Lofnac Plus Tablets x10,2.0,22,0.29,62
94,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",45,De-Deon's Syrup 150ml,1.0,Panda Paracetamol 15ml Drops,,,0.52,61
95,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",46,Emzolyn Cough Syrup Child,1.0,Arenax Plus Forte 80/480mg Tablets x6,,,0.32,60
96,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",47,Hydrex Tablet x100,1.0,Alabukun (Powder)  - 1x10 Pack,,,0.31,100
97,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",48,Flagyl 4% 60ml Suspension,1.0,Ibucap Forte Capsule x10,,,0.23,57
98,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",49,Amoxil Unbranded 250mg Capsules x100,1.0,Mycoten V Cream,,,0.29,94
99,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",50,Sudrex 500mg/30mg Tablets x20,1.0,De-Deon's Syrup 150ml,1.0,45,0.3,78
100,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",1,Gold Circle (Old) x24,79.0,Aboniki Balm,79.0,2,0.41,23
101,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",2,Aboniki Balm,79.0,Lonart DS 80/480mg Tablets x6,18.0,25,0.51,27
102,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",3,Tab Sudrex 500mg/30mg,61.0,Bonababe Syrup,55.0,4,0.55,35
103,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",4,Bonababe Syrup,55.0,Panadol Extra,10.0,46,0.54,65
104,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",5,Lofnac Tablets x10,50.0,Cream Skineal x15g,12.0,38,0.41,56
105,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",6,Tab Paracetamol (M&B) 500mg x96,49.0,Brustan-N 100mg/5ml Suspension x100ml,23.0,14,0.53,28
106,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",7,NGC Cough Syrup (Adult) x100ml,39.0,Coflin Expectorant x100ml,14.0,33,0.45,53
107,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",8,Babyrex Baby Mixture x60ml,32.0,Coartem 80/480mg Tablets x6,1.0,104,0.5,39
108,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",9,Coflin Cough Linctus x100ml,31.0,Amatem 80/480 Softgel x6,23.0,16,0.54,16
109,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",10,Visita Plus 30g Cream,29.0,Em-Vit-C 100ml Syrup,8.0,54,0.44,34
110,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",11,Amalar 500/25mg Tablets x50,28.0,Gestid 200ml Suspension,20.0,21,0.53,39
111,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",12,Postpill 150mcg Tablet,28.0,Postpill 150mcg Tablet,28.0,12,0.4,41
112,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",13,Postinor 2,24.0,Syrup Paracetamol 125mg/5ml (Emzor),19.0,23,0.47,40
113,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",14,Brustan-N 100mg/5ml Suspension x100ml,23.0,Fleming 625mg x14,,,0.38,59
114,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",15,Funbact A 30g Cream,23.0,Panadol (Regular) 500mg 10x10,,,0.42,66
115,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",16,Amatem 80/480 Softgel x6,23.0,Neofylin Cough Syrup,18.0,27,0.42,47
116,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",17,Tab Boska x20,23.0,Postinor 2,24.0,13,0.41,32
117,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",18,Emzor Paracetamol 500mg Tablets x96,22.0,NGC Cough Syrup (Adult) x100ml,39.0,7,0.4,61
118,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",19,Ors G Oral,22.0,Zentel 200mg Tablets x2,6.0,64,0.4,31
119,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",20,M&B Paracetamol Syrup 1 X 60ml Bottle,21.0,Astyfer Tonic x200ml,,,0.38,72
120,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",21,Gestid 200ml Suspension,20.0,Syr Astymin x200ml,3.0,81,0.36,63
121,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",22,Fire Xtra Condoms x3,20.0,Swidar 500/25mg x3,15.0,32,0.4,42
122,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",23,Syrup Paracetamol 125mg/5ml (Emzor),19.0,Tutolin Expectorant x100ml,10.0,48,0.35,74
123,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",24,Pyrantrin Tablet x6,19.0,Cenox Tablets x10,,,0.37,54
124,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",25,Lonart DS 80/480mg Tablets x6,18.0,Ciprotab 500mg Tablets x10,,,0.39,37
125,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",26,Emzolyn Cough Syrup Adult,18.0,Lofnac Tablets x10,50.0,5,0.35,41
126,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",27,Neofylin Cough Syrup,18.0,Lonart 20/120mg 60ml Suspension,9.0,51,0.41,57
127,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",28,NGC Cough Syrup (Child) x100ml,17.0,Pyrantrin Tablet x6,19.0,24,0.43,38
128,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",29,menthodex,17.0,Ciprotab 500mg Tablets x14,,,0.4,44
129,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",30,Fidson Paracetamol 500mg Tablets x96,17.0,Emgyl 200mg/5ml Suspension 60ml,11.0,43,0.23,98
130,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",31,Gestid 100ml Suspension,16.0,Nospamin Drops,1.0,116,0.32,82
131,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",32,Swidar 500/25mg x3,15.0,Babyrex Baby Mixture x60ml,32.0,8,0.41,52
132,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",33,Coflin Expectorant x100ml,14.0,Gascol Suspension x150ml,7.0,59,0.32,85
133,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",34,Bunto blood Tonic x300ml,13.0,Funbact A 30g Cream,23.0,15,0.43,34
134,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",35,D-Koff 100ml Expectorant ,13.0,Tab Paracetamol (M&B) 500mg x96,49.0,6,0.38,23
135,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",36,Camosunate Children 150mg/50mg Tablets (1-6years) x6,12.0,Gestid 100ml Suspension,16.0,31,0.28,68
136,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",37,K-Y Jelly 50g,12.0,Gestid Tablets x20,,,0.41,60
137,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",38,Cream Skineal x15g,12.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,12.0,36,0.43,31
138,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",39,EmVite Multivitamin Syrup x100ml,12.0,Coflin Cough Linctus x100ml,31.0,9,0.37,66
139,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",40,Emzolyn Cough Syrup Child,12.0,Tab Sudrex 500mg/30mg,61.0,3,0.27,35
140,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",41,ORS + Zinc x1 ,12.0,Neoskin Triple Action Cream 30g,,,0.34,70
141,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",42,Tutolin Children Cough Syrup x100ml,12.0,Alabukun (Powder)  - 1x10 Pack,11.0,44,0.31,100
142,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",43,Emgyl 200mg/5ml Suspension 60ml,11.0,Silverbird Eucalyptus Oil,6.0,65,0.3,107
143,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",44,Alabukun (Powder)  - 1x10 Pack,11.0,Ors G Oral,22.0,19,0.36,46
144,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",45,Fire Xtacy Condoms x3,11.0,Emzolyn Cough Syrup Child,12.0,40,0.41,64
145,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",46,Panadol Extra,10.0,P-Alaxin 40/320mg Tablets x9,1.0,126,0.42,62
146,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",47,Bunto Blood Caps x100,10.0,Emzolyn Cough Syrup Adult,18.0,26,0.49,48
147,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",48,Tutolin Expectorant x100ml,10.0,Lokmal QS Combi,6.0,62,0.32,61
148,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",49,Maldox 500/25mg Tablets x3,10.0,M&B Paracetamol Syrup 1 X 60ml Bottle,21.0,20,0.39,35
149,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",50,Cyprivite 200ml Syrup,10.0,Artequick 62.5/375mg Tablets x4,,,0.43,48
150,"""024cb024-0402-491d-aaac-e4b65709725c""",1,Tab Vega 100,70.0,Lonart DS 80/480mg Tablets x6,,,0.51,27
151,"""024cb024-0402-491d-aaac-e4b65709725c""",2,Ors G Oral,56.0,Gestid 200ml Suspension,,,0.53,39
152,"""024cb024-0402-491d-aaac-e4b65709725c""",3,Emzor Paracetamol 500mg Tablets x96,40.0,Coartem 80/480mg Tablets x6,,,0.5,39
153,"""024cb024-0402-491d-aaac-e4b65709725c""",4,Zentel 200mg Tablets x2,40.0,Amatem 80/480 Softgel x6,,,0.54,16
154,"""024cb024-0402-491d-aaac-e4b65709725c""",5,Evan Levofloxacin 500mg Tablets x10,40.0,Brustan-N 100mg/5ml Suspension x100ml,,,0.53,28
155,"""024cb024-0402-491d-aaac-e4b65709725c""",6,Pyrantrin Tablet x6,25.0,Bonababe Syrup,,,0.55,35
156,"""024cb024-0402-491d-aaac-e4b65709725c""",7,Postinor 2,24.0,Zentel 200mg Tablets x2,40.0,4,0.4,31
157,"""024cb024-0402-491d-aaac-e4b65709725c""",8,Robb Balm (Bottle),24.0,Camosunate 300mg/100mg (7-13years),10.0,24,0.4,52
158,"""024cb024-0402-491d-aaac-e4b65709725c""",9,Em-Vit-C 100ml Syrup,20.0,Emzolyn Cough Syrup Adult,10.0,26,0.49,48
159,"""024cb024-0402-491d-aaac-e4b65709725c""",10,Piriton Expectorant Adult,20.0,Panadol Extra,,,0.54,65
160,"""024cb024-0402-491d-aaac-e4b65709725c""",11,Tab Boska x20,20.0,Panadol (Regular) 500mg 10x10,,,0.42,66
161,"""024cb024-0402-491d-aaac-e4b65709725c""",12,Babyrex Baby Mixture x60ml,20.0,Artequick 62.5/375mg Tablets x4,,,0.43,48
162,"""024cb024-0402-491d-aaac-e4b65709725c""",13,Endix G Cream,20.0,Pyrantrin Tablet x6,25.0,6,0.43,38
163,"""024cb024-0402-491d-aaac-e4b65709725c""",14,Arenax Plus Forte 80/480mg Tablets x6,20.0,Loratyn 10mg Tablets x100,,,0.31,107
164,"""024cb024-0402-491d-aaac-e4b65709725c""",15,Cream Skineal x15g,19.0,Fleming 625mg x14,,,0.38,59
165,"""024cb024-0402-491d-aaac-e4b65709725c""",16,Tab Sudrex 500mg/30mg,19.0,Postinor 2,24.0,7,0.41,32
166,"""024cb024-0402-491d-aaac-e4b65709725c""",17,Coflin Expectorant x100ml,19.0,Cream Skineal x15g,19.0,15,0.41,56
167,"""024cb024-0402-491d-aaac-e4b65709725c""",18,Funbact A 30g Cream,12.0,Neofylin Cough Syrup,,,0.42,47
168,"""024cb024-0402-491d-aaac-e4b65709725c""",19,Aboniki Balm,12.0,Lofnac Gel 30g,12.0,20,0.31,85
169,"""024cb024-0402-491d-aaac-e4b65709725c""",20,Lofnac Gel 30g,12.0,Emzor Paracetamol 500mg Tablets x96,40.0,3,0.42,36
170,"""024cb024-0402-491d-aaac-e4b65709725c""",21,Visita Plus 30g Cream,11.0,P-Alaxin 40/320mg Tablets x9,,,0.42,62
171,"""024cb024-0402-491d-aaac-e4b65709725c""",22,Beehive Balsam Cough Syrup x200ml,10.0,Astyfer Capsules x30,,,0.29,98
172,"""024cb024-0402-491d-aaac-e4b65709725c""",23,Camosunate Children 150mg/50mg Tablets (1-6years) x6,10.0,Astyfer Tonic x200ml,5.0,40,0.38,72
173,"""024cb024-0402-491d-aaac-e4b65709725c""",24,Camosunate 300mg/100mg (7-13years),10.0,Syrup Paracetamol 125mg/5ml (Emzor),,,0.47,40
174,"""024cb024-0402-491d-aaac-e4b65709725c""",25,Camosunate Adult 300/100mg Tablets x12,10.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,10.0,23,0.43,31
175,"""024cb024-0402-491d-aaac-e4b65709725c""",26,Emzolyn Cough Syrup Adult,10.0,Actifed Tablets,8.0,33,0.29,72
176,"""024cb024-0402-491d-aaac-e4b65709725c""",27,Misofem x12,10.0,Cataflam Tablets 50mg x100,2.0,51,0.3,120
