,location_id,rank,true product,true product's sold_count,predicted new product
29,"""01aa6102-a054-4f25-a747-a39a4ea86769""",30,Peace Tonic 200ml,6,Mycoten Baby Cream 20g
30,"""01aa6102-a054-4f25-a747-a39a4ea86769""",31,Zolat 100mg/5ml Suspension x20ml,5,Levofem Tablets
31,"""01aa6102-a054-4f25-a747-a39a4ea86769""",32,Nospamin Drops,5,Buscomac Tab 10mg
32,"""01aa6102-a054-4f25-a747-a39a4ea86769""",33,Codolin 100ml Cough Syrup,5,Tab Mixagrip
33,"""01aa6102-a054-4f25-a747-a39a4ea86769""",34,Vatem 20/120 x 24 Tablets,5,Hydrogen Peroxide 200ml
34,"""01aa6102-a054-4f25-a747-a39a4ea86769""",35,Vatem 80/480mg Tablets x6,5,MIM Tonic 300ml
35,"""01aa6102-a054-4f25-a747-a39a4ea86769""",36,Tumol 500 10 x 10 Caplets,5,Chemiron Capsules
36,"""01aa6102-a054-4f25-a747-a39a4ea86769""",37,Ytacan  25g Cream,5,P-Alaxin 40/320mg Tablets x9
37,"""01aa6102-a054-4f25-a747-a39a4ea86769""",38,Derosa Blood Tonic 200ml,5,Cal D3 Caplets x30
38,"""01aa6102-a054-4f25-a747-a39a4ea86769""",39,Sumo Active Syrup 200ml,5,PowerHeat
39,"""01aa6102-a054-4f25-a747-a39a4ea86769""",40,Brustan-N 60ml Syrup,4,Lodium Capsules x100
40,"""01aa6102-a054-4f25-a747-a39a4ea86769""",41,Lonart 20/120mg Tablets x24,4,Bonakoff 100ml Expectorant
41,"""01aa6102-a054-4f25-a747-a39a4ea86769""",42,Zolat 200mg Tablets x2,4,Day by Day Vitamin C Glucose x20
42,"""01aa6102-a054-4f25-a747-a39a4ea86769""",43,Oceanic Cod Liver Oil 1000mg Capsules x30,4,Nocof 15ml Drops
43,"""01aa6102-a054-4f25-a747-a39a4ea86769""",44,Pyrantrin 15ml Suspension,4,Cypri Gold 100ml Syrup
44,"""01aa6102-a054-4f25-a747-a39a4ea86769""",45,Arenax Plus 20/120 x6 Tablets,4,Whitfield's Ointment 20g
45,"""01aa6102-a054-4f25-a747-a39a4ea86769""",46,Amatem 20/120mg x24 Softgels,4,Gestid Tablets x20
46,"""01aa6102-a054-4f25-a747-a39a4ea86769""",47,Vamiron Capsule x30,4,Fiesta Ribbed
47,"""01aa6102-a054-4f25-a747-a39a4ea86769""",48,Gecrol 1 x 100ml Suspension,4,Tab Brustan-N
48,"""01aa6102-a054-4f25-a747-a39a4ea86769""",49,Gecrol Suspension 200ml,4,Coartem 20/120mg x6 Tablets
49,"""01aa6102-a054-4f25-a747-a39a4ea86769""",50,Pain Go,4,Dexorange 200ml Syrup
50,"""01aa6102-a054-4f25-a747-a39a4ea86769""",51,Nelbcam Piroxicam,4,Neurogesic Ointment 35g
51,"""01aa6102-a054-4f25-a747-a39a4ea86769""",52,MIM Capsules x30,4,Assurance Pt Strips X50
52,"""01aa6102-a054-4f25-a747-a39a4ea86769""",53,Fesulf Satchet x100,4,Cod Liver Oil 1000mg Soft Gel Capsule 30
53,"""01aa6102-a054-4f25-a747-a39a4ea86769""",54,Bond Paracetamol 500mg Tablets x96,4,Jawaron Capsules 10 x 10
54,"""01aa6102-a054-4f25-a747-a39a4ea86769""",55,Emzor Paracetamol 500mg Tablets x96,3,Abidec Multivitamin Drops
55,"""01aa6102-a054-4f25-a747-a39a4ea86769""",56,Cream Skineal x15g,3,Emtrisil Suspension 200ml
56,"""01aa6102-a054-4f25-a747-a39a4ea86769""",57,Syr Astymin x200ml,3,Neofylin Cough Syrup
57,"""01aa6102-a054-4f25-a747-a39a4ea86769""",58,Ors G Oral,3,Kiss Condoms
58,"""01aa6102-a054-4f25-a747-a39a4ea86769""",59,Woodward's Gripe Water (Big Size) 150ml,3,Ranferon-12 100ml Syrup
59,"""01aa6102-a054-4f25-a747-a39a4ea86769""",60,Coflin Expectorant x100ml,3,Fidson Paracetamol 60ml Syrup
60,"""01aa6102-a054-4f25-a747-a39a4ea86769""",61,Tab Loxagyl 400mg,3,Tutrim Suspension 
61,"""01aa6102-a054-4f25-a747-a39a4ea86769""",62,De-Deon's Syrup 280ml,3,Yeast Tablets x1000
62,"""01aa6102-a054-4f25-a747-a39a4ea86769""",63,Emzolyn Cough Syrup Adult,3,Astymin Capsules x20
63,"""01aa6102-a054-4f25-a747-a39a4ea86769""",64,Vitamin C Drops,3,Clofenac 50mg Tablets x100
64,"""01aa6102-a054-4f25-a747-a39a4ea86769""",65,Moko Iodine,3,Clofenac 100mg Tablets x100
65,"""01aa6102-a054-4f25-a747-a39a4ea86769""",66,Tuxil N Adult Cough Syrup,3,Wormin 500 Tablets
66,"""01aa6102-a054-4f25-a747-a39a4ea86769""",67,Hydrocortisone 15g Cream,3,Postinor 2
67,"""01aa6102-a054-4f25-a747-a39a4ea86769""",68,Amatem  20/120mg x12 Softgels,3,Silverbird Eucalyptus Oil
68,"""01aa6102-a054-4f25-a747-a39a4ea86769""",69,Lofnac Gel 30g,3,Aboniki Balm
69,"""01aa6102-a054-4f25-a747-a39a4ea86769""",70,Orheptal Tonic 300ml,3,Camosunate 300mg/100mg (7-13years)
70,"""01aa6102-a054-4f25-a747-a39a4ea86769""",71,AfrabVite Multivitamin Syrup 100ml,3,Diastop 100ml Suspension 
71,"""01aa6102-a054-4f25-a747-a39a4ea86769""",72,Bunto Syrup Tonic 1L,3,P-Alaxin 80/640mg 80ml Suspension
72,"""01aa6102-a054-4f25-a747-a39a4ea86769""",73,Vitamin C Tab x 100 Coloured,3,Tuxil D Adult 100ml Cough Syrup
73,"""01aa6102-a054-4f25-a747-a39a4ea86769""",74,Piscof Syrup,3,Ciprofloxacin Infusion x1
74,"""01aa6102-a054-4f25-a747-a39a4ea86769""",75,Super Apeti 2 x 10 Tablets,3,Ibex 200mg Capsules x24
75,"""01aa6102-a054-4f25-a747-a39a4ea86769""",76,Exiplon Adult Cough Syrup 100ml ,3,Broncholyte 4mg/5ml Elixir x100ml
76,"""01aa6102-a054-4f25-a747-a39a4ea86769""",77,Exiplon Children Cough Syrup ,3,Shal'artem 80/480mg Tablets x6
77,"""01aa6102-a054-4f25-a747-a39a4ea86769""",78,Em-Vit-C 100ml Syrup,2,Lonart DS 80/480mg Tablets x6
78,"""01aa6102-a054-4f25-a747-a39a4ea86769""",79,Funbact A 30g Cream,2,Em-B-Plex 100ml Syrup
79,"""01aa6102-a054-4f25-a747-a39a4ea86769""",80,Gestid 200ml Suspension,2,Neurogesic Extra - 1x25g Ointment
80,"""01aa6102-a054-4f25-a747-a39a4ea86769""",81,Methylated Spirit (Moko) x200ml,2,Coartem 80/480mg Tablets x6
81,"""01aa6102-a054-4f25-a747-a39a4ea86769""",82,Panadol (Regular) 500mg 10x10,2,Chloroquine Phosphate Tablets x 1000
82,"""01aa6102-a054-4f25-a747-a39a4ea86769""",83,Tribotan Child,2,Camosunate Adult 300/100mg Tablets x12
83,"""01aa6102-a054-4f25-a747-a39a4ea86769""",84,Panadol Extra,2,ABF-3 Cream 20g
84,"""01aa6102-a054-4f25-a747-a39a4ea86769""",85,Daravit Capsules x30,2,Bonadol 100ml Syrup
85,"""01aa6102-a054-4f25-a747-a39a4ea86769""",86,Coflin Cough Linctus x100ml,2,Cal D3 Plus Caplets x30
86,"""01aa6102-a054-4f25-a747-a39a4ea86769""",87,Lonart 20/120mg 60ml Suspension,2,Mycoten 20g Cream
87,"""01aa6102-a054-4f25-a747-a39a4ea86769""",88,Bunto Blood Caps x100,2,Arenax Plus Forte 80/480mg Tablets x6
88,"""01aa6102-a054-4f25-a747-a39a4ea86769""",89,Dolo-Meta B x100,2,Solotone Syrup 200ml
89,"""01aa6102-a054-4f25-a747-a39a4ea86769""",90,De-Deon's Syrup 150ml,2,Meprasil x20
90,"""01aa6102-a054-4f25-a747-a39a4ea86769""",91,Emzolyn Cough Syrup Child,2,Fiesta Classic Condom
91,"""01aa6102-a054-4f25-a747-a39a4ea86769""",92,NGC - Valgin Tabs 10X100,2,Astyfer Capsules x30
92,"""01aa6102-a054-4f25-a747-a39a4ea86769""",93,Bond Vitamin C 100mg Tablets x1000 (White),2,Ferrotogen Tonic 200ml
93,"""01aa6102-a054-4f25-a747-a39a4ea86769""",94,Tuxil D Children Cough Syrup,2,NCP Antiseptic Liquid 200ml
94,"""01aa6102-a054-4f25-a747-a39a4ea86769""",95,Tuxil-N Syrup Child 100ml,2,Paragesic Paracetamol 500mg Tablets x96
95,"""01aa6102-a054-4f25-a747-a39a4ea86769""",96,Acneaway Cream 20g,2,Gripe Water S/S
96,"""01aa6102-a054-4f25-a747-a39a4ea86769""",97,Em-B-Plex Tablets x100,2,Hydrogen Peroxide 100ml 
97,"""01aa6102-a054-4f25-a747-a39a4ea86769""",98,Epiderm Cream 30g,2,Tab Augmentin 625mg
98,"""01aa6102-a054-4f25-a747-a39a4ea86769""",99,Vamiron Tonic  - 1 x 200ml Syrup,2,Chest and Lungs Tablet
99,"""01aa6102-a054-4f25-a747-a39a4ea86769""",100,No Pain Tablets x100,2,Kold Off 50 x4
100,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",1,Ibucap x20,5,Spartan C 100mg Tablets (White) x100
101,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",2,Lofnac Tablets x10,5,Coartem 20/120mg Tablets x24 Green
102,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",3,Nutravit Syrup 100ml,5,Ciprotab 500mg Tablets x10
103,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",4,Chlorpheniramine 10mg/ml Injection x10,5,Aldomet 250mg Tablets x60
104,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",5,Fleming 1000mg x14,4,Lisinopril 10mg (Pocco) Tablets  x28
105,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",6,Imodium 2mg Capsules x6,4,Ciprotab 500mg Tablets x14
106,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",7,Zentel 200mg Tablets x2,3,Tuxil N Adult Cough Syrup
107,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",8,Woodward's Gripe Water (Big Size) 150ml,3,Erythromicin 500mg tablets
108,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",9,Actifed Tablets,3,Abidec Multivitamin Drops
109,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",10,Zinnat Tablets 500mg x10,3,Glucophage 500mg Tablets x30
110,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",11,K-Y Jelly 50g,3,Folic acid + B12 Tablets (Dr Meyer's) x100
111,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",12,Lincomman Capsules x12,3,Artelum 80/480 Tablets  x6
112,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",13,Hovimax 250mg Tablets x6,3,Amatem Forte 80/480mg tablets x6
113,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",14,Ascomed Vitamin C 100mg (Chewable) Tablets x100,3,Vasoprin 75mg Tablets x100
114,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",15,Lonart DS 80/480mg Tablets x6,2,Sensodyne Deep Clean 75ml
115,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",16,Coflin Cough Linctus x100ml,2,Neofylin Cough Syrup
116,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",17,Gynaecocid Tabs,2,Camosunate Children 150mg/50mg Tablets (1-6years) x6
117,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",18,Coartem 20/120mg x6 Tablets,2,Funbact A 30g Cream
118,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",19,Lokmal QS Combi,2,Cream Skineal x15g
119,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",20,Wellwoman Original Tablets x30,2,Pocco Amlodipine 10mg Tablets x28
120,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",21,Meyer's B-Complex Tabs x100,2,Cenox-TN Tabets x10
121,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",22,Lofnac Plus Tablets x10,2,ABF-3 Cream 20g
122,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",23,Neurovite Forte Tablet x100,2,Camosunate 300mg/100mg (7-13years)
123,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",24,Anorol 10x10 Tab,2,Fleming 625mg x14
124,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",25,Dermazin Cream 50g Cream,2,Ampiclox (Unbranded) 500mg Capsules x100
125,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",26,Orphesic x100 Tablets,2,Bunto Blood Caps x100
126,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",27,Biocine 500mg Capsules x20,2,Ibex 200mg Capsules x24
127,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",28,Rophegan Promethazine 100ml Syrup,2,Gestid Tablets x20
128,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",29,Nature's Field Vitamin C 1000mg Tablets 1x10x10,2,Beehive Balsam Cough Syrup x200ml
129,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",30,Syrup Paracetamol 125mg/5ml (Emzor),1,Vitamin C Drops
130,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",31,Ruzu Bitters x200ml,1,Coartem 80/480mg Tablets x6
131,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",32,Tab Loxagyl 400mg,1,Pocco Amlodipine 5mg Tablets x28
132,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",33,Livolin Forte Capsules x30,1,Brustan-N 100mg/5ml Suspension x100ml
133,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",34,Omega H3 Capsules x30,1,Artequick 62.5/375mg Tablets x4
134,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",35,Well Woman Plus + Omega 3 x60,1,Ferrotogen Capsule x30
135,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",36,Strepsils (Honey and Lemon) ×24,1,Tribotan Child
136,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",37,Bonababe Syrup,1,Loxagyl 60ml Suspension
137,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",38,Cenpain Night,1,Dolo-Meta B x100
138,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",39,Strepsils (Orange + Vitamin C) x24,1,Flucamed 50mg Capsules x3
139,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",40,Strepsils (Intensive) ×16,1,Tab Brustan-N
140,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",41,Tab Vega 100,1,Topmal (Dispersible) 20/120mg Tablets x6
141,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",42,Diabetmin 500mg Tablets x100,1,M&B Paracetamol Syrup 1 X 60ml Bottle
142,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",43,Felxicam 20mg Capsules x100,1,Fleming 228.5mg/5ml Suspension
143,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",44,Danacid Tablets x96,1,Amatem 80/480 Softgel x6
144,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",45,De-Deon's Syrup 150ml,1,Sensodyne Extra Fresh 75ml Toothpaste
145,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",46,Emzolyn Cough Syrup Child,1,Cefuroxime 125mg/5ml (Fidson) 70ml Suspension
146,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",47,Hydrex Tablet x100,1,Cataflam Tablets 50mg x100
147,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",48,Flagyl 4% 60ml Suspension,1,Tuxil-N Syrup Child 100ml
148,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",49,Amoxil Unbranded 250mg Capsules x100,1,Brett Mouthwash x250ml
149,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",50,Sudrex 500mg/30mg Tablets x20,1,Ruzu Bitters 500ml
150,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",51,Neo-Presol Acne/After Shave Lotion 25ml,1,Nospamin Drops
151,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",52,Advant Tab 16mg,1,Betaman x30
152,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",53,Moko Iodine,1,Nifedin Dexcel 20mg Tablets x30
153,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",54,Tutolin Expectorant x100ml,1,CAC 1000 Sandoz Effervescent Tablets
154,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",55,Tutolin Children Cough Syrup x100ml,1,Rycin 500mg Tablets
155,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",56,Kiss Condoms,1,Gascol Suspension x150ml
156,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",57,Bonduretic Tablets x100,1,Em-Vit-C 100ml Syrup
157,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",58,Zyncet 5mg/5ml 60ml Suspension,1,Throtal 125mg/5ml Suspension 100ml
158,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",59,Loratadine 5mg Tablets x100 (SIVO),1,De-Deon's Syrup 280ml
159,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",60,Calgovite Vitamin C (High Strenght ) 1000mg 1 X 20 Effervescent Tablets,1,Amlong 5mg Tablets x30
160,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",61,Ciprobon 500mg Caplets x10,1,Fleming 457mg/5ml Suspension
161,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",62,Zoxine 20/120mg Tablets x24,1,Promethazine 25mg Tablets x100
162,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",63,Cenox Tablets x10,1,Maladar 25/500mg Tablets x50
163,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",64,Daravite Forte Capsules x50,1,Pocco Lisinopril 5mg Tablets x28
164,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",65,Emcap Paracetamol 500mg Caplets x100,1,Secwid 500mg Tablets x3
165,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",66,Gvither Plus Tablets,1,Axacef 500mg Tablets
166,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",67,Piroxicam Injection 10mg/2ml - 1x10 Ampoules,1,Menthodex Syrup
167,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",68,Nurofen 200mg - 1x10 Caplets,1,Neurogesic Extra - 1x25g Ointment
168,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",69,Fortified Procaine Penicillin -x10 Vials,1,PT Strip
169,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",70,Enat 400mg x30 Capsules,1,Postinor 2
170,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",71,Krishacid 96 Tablets,1,Clavulin 625mg Tablets x14
171,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",72,Synriam 150/750mg Tablets x3,1,Emzor Paracetamol 500mg Tablets x96
172,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",73,Panfor SR 500mg Tablet x100,1,Levofem Tablets
173,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",74,Dabur Herbal Toothpaste 140g,1,Plagerine 75mg Tabs x30
174,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",75,Reload Men 50+ Tablets x30,1,Topmal 80/480mg Tablets x6
175,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",1,Gold Circle (Old) x24,79,Panadol (Regular) 500mg 10x10
176,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",2,Aboniki Balm,79,Arthemed 80/480mg Tablets x6
177,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",3,Tab Sudrex 500mg/30mg,61,Clartem 20/120mg Tablets x24
178,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",4,Bonababe Syrup,55,Astyfer Tonic x200ml
179,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",5,Lofnac Tablets x10,50,Loratadine (Afrab) Syrup 60ml
180,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",6,Tab Paracetamol (M&B) 500mg x96,49,Artequick 62.5/375mg Tablets x4
181,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",7,NGC Cough Syrup (Adult) x100ml,39,Lofnac Plus Tablets x10
182,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",8,Babyrex Baby Mixture x60ml,32,Cotton Wool 300g
183,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",9,Coflin Cough Linctus x100ml,31,Emal Injection 150mg/2ml x3
184,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",10,Visita Plus 30g Cream,29,Cotton wool 100g
185,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",11,Amalar 500/25mg Tablets x50,28,Tribotan Child
186,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",12,Postpill 150mcg Tablet,28,Gestid Tablets x20
187,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",13,Postinor 2,24,Tab Loxagyl 400mg
188,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",14,Brustan-N 100mg/5ml Suspension x100ml,23,Meyer's B-Complex Tabs x100
189,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",15,Funbact A 30g Cream,23,Flucor Day Capsules
190,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",16,Amatem 80/480 Softgel x6,23,Procold Tablet x25
191,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",17,Tab Boska x20,23,Piriton Expectorant Adult
192,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",18,Emzor Paracetamol 500mg Tablets x96,22,Daravit Capsules x30
193,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",19,Ors G Oral,22,Emtrisil Suspension 200ml
194,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",20,M&B Paracetamol Syrup 1 X 60ml Bottle,21,Camosunate Adult 300/100mg Tablets x12
195,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",21,Gestid 200ml Suspension,20,Zolat 100mg/5ml Suspension x20ml
196,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",22,Fire Xtra Condoms x3,20,Allergin 5mg/5ml Syrup 60ml
197,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",23,Syrup Paracetamol 125mg/5ml (Emzor),19,Bond Paracetamol 500mg Tablets x96
198,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",24,Pyrantrin Tablet x6,19,Pectol x50
199,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",25,Lonart DS 80/480mg Tablets x6,18,Astymin Capsules x20
200,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",26,Emzolyn Cough Syrup Adult,18,Syringe 2ml
201,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",27,Neofylin Cough Syrup,18,Bonakoff 100ml Expectorant
202,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",28,NGC Cough Syrup (Child) x100ml,17,Ciprotab 500mg Tablets x14
203,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",29,menthodex,17,Bond Paracetamol 60ml Syrup
204,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",30,Fidson Paracetamol 500mg Tablets x96,17,Savlon 250ml Antiseptic Liquid
205,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",31,Gestid 100ml Suspension,16,Cataflam Tablets 50mg x100
206,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",32,Swidar 500/25mg x3,15,Kacham Caplets x20
207,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",33,Coflin Expectorant x100ml,14,Pyrantrin 15ml Suspension
208,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",34,Bunto blood Tonic x300ml,13,Durex Fetherlite  x3
209,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",35,D-Koff 100ml Expectorant ,13,Ketofung 20g Cream
