,location_id,rank,true product,true product's sales,predicted product,predicted product's true sales,predicted product's true rank,predicted product sells at fraction of locations,predicted product's average rank at locations selling it
65,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",6,Tab Paracetamol (M&B) 500mg x96,49.0,D-Koff 100ml Expectorant ,13.0,35,0.22,64
66,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",7,NGC Cough Syrup (Adult) x100ml,39.0,Zolat 200mg Tablets x2,6.0,63,0.27,63
67,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",8,Babyrex Baby Mixture x60ml,32.0,Em-Vit-C 100ml Syrup,8.0,54,0.44,34
68,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",9,Coflin Cough Linctus x100ml,31.0,Ors G Oral,22.0,19,0.36,46
69,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",10,Visita Plus 30g Cream,29.0,Babyrex Baby Mixture x60ml,32.0,8,0.41,52
70,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",11,Amalar 500/25mg Tablets x50,28.0,Cream Skineal x15g,12.0,38,0.41,56
71,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",12,Postpill 150mcg Tablet,28.0,Postpill 150mcg Tablet,28.0,12,0.4,41
72,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",13,Postinor 2,24.0,Alabukun (Powder)  - 1x10 Pack,11.0,44,0.31,100
73,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",14,Brustan-N 100mg/5ml Suspension x100ml,23.0,Gascol Suspension x150ml,7.0,59,0.32,85
74,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",15,Funbact A 30g Cream,23.0,Tab Boska x20,23.0,17,0.33,53
75,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",16,Amatem 80/480 Softgel x6,23.0,Emzolyn Cough Syrup Child,12.0,40,0.41,64
76,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",17,Tab Boska x20,23.0,Funbact A 30g Cream,23.0,15,0.43,34
77,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",18,Emzor Paracetamol 500mg Tablets x96,22.0,Coflin Expectorant x100ml,14.0,33,0.45,53
78,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",19,Ors G Oral,22.0,Aboniki Balm,79.0,2,0.41,23
79,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",20,M&B Paracetamol Syrup 1 X 60ml Bottle,21.0,Methylated Spirit (Moko) x200ml,7.0,58,0.35,51
80,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",21,Gestid 200ml Suspension,20.0,Gestid 200ml Suspension,20.0,21,0.53,39
81,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",22,Fire Xtra Condoms x3,20.0,Lokmal QS Combi,6.0,62,0.32,61
82,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",23,Syrup Paracetamol 125mg/5ml (Emzor),19.0,Clartem 20/120mg Tablets x24,,,0.22,40
83,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",24,Pyrantrin Tablet x6,19.0,Neofylin Cough Syrup,18.0,27,0.42,47
84,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",25,Lonart DS 80/480mg Tablets x6,18.0,Tab Mixagrip,2.0,90,0.23,137
85,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",26,Emzolyn Cough Syrup Adult,18.0,Coflin Cough Linctus x100ml,31.0,9,0.37,66
86,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",27,Neofylin Cough Syrup,18.0,Lonart 20/120mg 60ml Suspension,9.0,51,0.41,57
87,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",28,NGC Cough Syrup (Child) x100ml,17.0,NGC Cough Syrup (Adult) x100ml,39.0,7,0.4,61
88,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",29,menthodex,17.0,Bonababe Syrup,55.0,4,0.55,35
89,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",30,Fidson Paracetamol 500mg Tablets x96,17.0,Procold Tablet x25,,,0.26,128
90,"""024cb024-0402-491d-aaac-e4b65709725c""",1,Tab Vega 100,70.0,Gestid 200ml Suspension,,,0.53,39
91,"""024cb024-0402-491d-aaac-e4b65709725c""",2,Ors G Oral,56.0,Emzor Paracetamol 500mg Tablets x96,40.0,3,0.42,36
92,"""024cb024-0402-491d-aaac-e4b65709725c""",3,Emzor Paracetamol 500mg Tablets x96,40.0,Kiss Condoms,,,0.33,115
93,"""024cb024-0402-491d-aaac-e4b65709725c""",4,Zentel 200mg Tablets x2,40.0,Bonababe Syrup,,,0.55,35
94,"""024cb024-0402-491d-aaac-e4b65709725c""",5,Evan Levofloxacin 500mg Tablets x10,40.0,Emzolyn Cough Syrup Adult,10.0,26,0.49,48
95,"""024cb024-0402-491d-aaac-e4b65709725c""",6,Pyrantrin Tablet x6,25.0,Loratyn 10mg Tablets x100,,,0.31,107
96,"""024cb024-0402-491d-aaac-e4b65709725c""",7,Postinor 2,24.0,Panadol Extra,,,0.54,65
97,"""024cb024-0402-491d-aaac-e4b65709725c""",8,Robb Balm (Bottle),24.0,Em-Vit-C 100ml Syrup,20.0,9,0.44,34
98,"""024cb024-0402-491d-aaac-e4b65709725c""",9,Em-Vit-C 100ml Syrup,20.0,Zolat 200mg Tablets x2,,,0.27,63
99,"""024cb024-0402-491d-aaac-e4b65709725c""",10,Piriton Expectorant Adult,20.0,Funbact A 30g Cream,12.0,18,0.43,34
100,"""024cb024-0402-491d-aaac-e4b65709725c""",11,Tab Boska x20,20.0,Postinor 2,24.0,7,0.41,32
101,"""024cb024-0402-491d-aaac-e4b65709725c""",12,Babyrex Baby Mixture x60ml,20.0,Panadol (Regular) 500mg 10x10,,,0.42,66
102,"""024cb024-0402-491d-aaac-e4b65709725c""",13,Endix G Cream,20.0,Cream Skineal x15g,19.0,15,0.41,56
103,"""024cb024-0402-491d-aaac-e4b65709725c""",14,Arenax Plus Forte 80/480mg Tablets x6,20.0,Camosunate 300mg/100mg (7-13years),10.0,24,0.4,52
104,"""024cb024-0402-491d-aaac-e4b65709725c""",15,Cream Skineal x15g,19.0,Actifed Tablets,8.0,33,0.29,72
105,"""024cb024-0402-491d-aaac-e4b65709725c""",16,Tab Sudrex 500mg/30mg,19.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,10.0,23,0.43,31
106,"""024cb024-0402-491d-aaac-e4b65709725c""",17,Coflin Expectorant x100ml,19.0,Emzolyn Cough Syrup Child,,,0.41,64
107,"""024cb024-0402-491d-aaac-e4b65709725c""",18,Funbact A 30g Cream,12.0,Lonart DS 80/480mg Tablets x6,,,0.51,27
108,"""024cb024-0402-491d-aaac-e4b65709725c""",19,Aboniki Balm,12.0,Zolat 100mg/5ml Suspension x20ml,7.0,36,0.29,66
109,"""024cb024-0402-491d-aaac-e4b65709725c""",20,Lofnac Gel 30g,12.0,Pyrantrin Tablet x6,25.0,6,0.43,38
110,"""024cb024-0402-491d-aaac-e4b65709725c""",21,Visita Plus 30g Cream,11.0,Pectol x50,1.0,59,0.19,122
111,"""024cb024-0402-491d-aaac-e4b65709725c""",22,Beehive Balsam Cough Syrup x200ml,10.0,Amatem 80/480 Softgel x6,,,0.54,16
112,"""024cb024-0402-491d-aaac-e4b65709725c""",23,Camosunate Children 150mg/50mg Tablets (1-6years) x6,10.0,De-Deon's Syrup 150ml,,,0.3,78
113,"""024cb024-0402-491d-aaac-e4b65709725c""",24,Camosunate 300mg/100mg (7-13years),10.0,Em Vit C 100mg (White) Tablets x100,,,0.16,59
114,"""024cb024-0402-491d-aaac-e4b65709725c""",25,Camosunate Adult 300/100mg Tablets x12,10.0,Clartem 20/120mg Tablets x24,,,0.22,40
115,"""024cb024-0402-491d-aaac-e4b65709725c""",26,Emzolyn Cough Syrup Adult,10.0,Coartem 80/480mg Tablets x6,,,0.5,39
116,"""024cb024-0402-491d-aaac-e4b65709725c""",27,Misofem x12,10.0,Brustan-N 100mg/5ml Suspension x100ml,,,0.53,28
117,"""024cb024-0402-491d-aaac-e4b65709725c""",28,Em-Vit C 100mg (Coloured) Tablets x100,10.0,Lonart 20/120mg 60ml Suspension,,,0.41,57
118,"""024cb024-0402-491d-aaac-e4b65709725c""",29,Hydrogen Peroxide 100ml ,10.0,Lofnac Gel 30g,12.0,20,0.31,85
119,"""024cb024-0402-491d-aaac-e4b65709725c""",30,Chest and Lungs Tablet,10.0,Synriam 150/750mg Tablets x3,8.0,35,0.17,84
120,"""024d2bfa-490e-4231-b434-b065c13fb914""",1,Gentamicin Eye/Ear Drop,50.0,NGC Cough Syrup (Adult) x100ml,,,0.4,61
121,"""024d2bfa-490e-4231-b434-b065c13fb914""",2,Cream Skineal x15g,48.0,Coflin Expectorant x100ml,,,0.45,53
122,"""024d2bfa-490e-4231-b434-b065c13fb914""",3,Visita Plus 30g Cream,48.0,Coflin Cough Linctus x100ml,21.0,24,0.37,66
123,"""024d2bfa-490e-4231-b434-b065c13fb914""",4,Gascol Suspension x150ml,48.0,Neofylin Cough Syrup,8.0,61,0.42,47
124,"""024d2bfa-490e-4231-b434-b065c13fb914""",5,Postpill 150mcg Tablet,48.0,Broncholyte 4mg/5ml Elixir x100ml,6.0,78,0.37,81
125,"""024d2bfa-490e-4231-b434-b065c13fb914""",6,Fiesta Prolong,48.0,Aboniki Balm,13.0,45,0.41,23
126,"""024d2bfa-490e-4231-b434-b065c13fb914""",7,Tab Paracetamol (M&B) 500mg x96,45.0,Pyrantrin Tablet x6,40.0,11,0.43,38
127,"""024d2bfa-490e-4231-b434-b065c13fb914""",8,Emzor Paracetamol 500mg Tablets x96,41.0,Tutolin Expectorant x100ml,,,0.35,74
128,"""024d2bfa-490e-4231-b434-b065c13fb914""",9,M&B Paracetamol Syrup 1 X 60ml Bottle,40.0,NGC Cough Syrup (Child) x100ml,,,0.34,72
129,"""024d2bfa-490e-4231-b434-b065c13fb914""",10,Emtrim 50ml Suspension,40.0,Tab Paracetamol (M&B) 500mg x96,45.0,7,0.38,23
130,"""024d2bfa-490e-4231-b434-b065c13fb914""",11,Pyrantrin Tablet x6,40.0,Procold Tablet x25,,,0.26,128
131,"""024d2bfa-490e-4231-b434-b065c13fb914""",12,Diclomol Gel 30g,40.0,Postinor 2,11.0,49,0.41,32
132,"""024d2bfa-490e-4231-b434-b065c13fb914""",13,Ascochew Vitamin C (White),38.0,Lonart 20/120mg 60ml Suspension,,,0.41,57
133,"""024d2bfa-490e-4231-b434-b065c13fb914""",14,Tab Boska x20,38.0,Panda Paracetamol 15ml Drops,6.0,73,0.52,61
134,"""024d2bfa-490e-4231-b434-b065c13fb914""",15,Ascochew Vitamin C (Orange),37.0,Menthodex Syrup,,,0.37,63
135,"""024d2bfa-490e-4231-b434-b065c13fb914""",16,Syrup Paracetamol 125mg/5ml (Emzor),33.0,Lonart DS 80/480mg Tablets x6,15.0,37,0.51,27
136,"""024d2bfa-490e-4231-b434-b065c13fb914""",17,Amatem 80/480 Softgel x6,33.0,M&B Paracetamol Syrup 1 X 60ml Bottle,40.0,9,0.39,35
137,"""024d2bfa-490e-4231-b434-b065c13fb914""",18,Danacid Tablets x96,30.0,Gestid Tablets x20,,,0.41,60
138,"""024d2bfa-490e-4231-b434-b065c13fb914""",19,Ciprotab 500mg Tablets x14,29.0,Artequick 62.5/375mg Tablets x4,,,0.43,48
139,"""024d2bfa-490e-4231-b434-b065c13fb914""",20,Epiderm Cream 30g,25.0,Emzolyn Cough Syrup Adult,24.0,21,0.49,48
140,"""024d2bfa-490e-4231-b434-b065c13fb914""",21,Emzolyn Cough Syrup Adult,24.0,Astyfer Tonic x200ml,4.0,89,0.38,72
141,"""024d2bfa-490e-4231-b434-b065c13fb914""",22,Fiesta Dotted,24.0,Ors G Oral,5.0,80,0.36,46
142,"""024d2bfa-490e-4231-b434-b065c13fb914""",23,Tab Vega 100,23.0,Emzolyn Cough Syrup Child,20.0,26,0.41,64
143,"""024d2bfa-490e-4231-b434-b065c13fb914""",24,Coflin Cough Linctus x100ml,21.0,Tab Boska x20,38.0,14,0.33,53
144,"""024d2bfa-490e-4231-b434-b065c13fb914""",25,Amoxicillin (Unbranded) 500mg Capsules x100,20.0,Amatem 80/480 Softgel x6,33.0,17,0.54,16
145,"""024d2bfa-490e-4231-b434-b065c13fb914""",26,Emzolyn Cough Syrup Child,20.0,P-Alaxin 40/320mg Tablets x9,,,0.42,62
146,"""024d2bfa-490e-4231-b434-b065c13fb914""",27,ABF-3 Cream 20g,20.0,Ciprotab 500mg Tablets x10,8.0,59,0.39,37
147,"""024d2bfa-490e-4231-b434-b065c13fb914""",28,Tab Loxagyl 400mg,18.0,Panadol Extra,5.0,82,0.54,65
148,"""024d2bfa-490e-4231-b434-b065c13fb914""",29,Fiesta Classic Condom,18.0,Em-Vit-C 100ml Syrup,,,0.44,34
149,"""024d2bfa-490e-4231-b434-b065c13fb914""",30,Tab Glucophage 1000mg,17.0,Postpill 150mcg Tablet,48.0,5,0.4,41
150,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",1,Bond Paracetamol 500mg Tablets x96,45.0,Asad 200ml Suspension,15.0,6,0.08,41
151,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",2,Tanzole 400mg Tablets,40.0,Asad Suspension 100ml 1x1 Bottle,37.0,3,0.12,23
152,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",3,Asad Suspension 100ml 1x1 Bottle,37.0,Syringe 5ml,,,0.2,125
153,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",4,Tuxil D Adult 100ml Cough Syrup,24.0,Avrocid 200ml Suspension,5.0,16,0.08,87
154,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",5,Tuxil D Children Cough Syrup,18.0,Shaltoux Lozenges x200,1.0,35,0.1,126
155,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",6,Asad 200ml Suspension,15.0,Emzolyn Cough Syrup Child,5.0,17,0.41,64
156,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",7,Krisacid Tablet x100,13.0,Emzolyn Cough Syrup Adult,2.0,26,0.49,48
157,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",8,Diclokris 50mg Tablet,10.0,Contact Cold Capsule,5.0,13,0.14,74
158,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",9,Maxiron Capsule,8.0,Andrews Liver Salt x50,1.0,34,0.14,135
159,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",10,Pilex Capsule,6.0,Paracetamol injection 15ml,,,0.04,58
160,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",11,Cof Off Adult,6.0,D-Koff 100ml Expectorant ,1.0,37,0.22,64
161,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",12,Coflin Expectorant x100ml,6.0,Syringe 2ml,,,0.16,132
162,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",13,Contact Cold Capsule,5.0,Jawasil 100ml Suspension 1,,,0.03,55
163,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",14,Ors G Oral,5.0,Gestid 200ml Suspension,3.0,22,0.53,39
164,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",15,Wosan Ointment,5.0,Arthemed 80/480mg Tablets x6,,,0.14,27
165,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",16,Avrocid 200ml Suspension,5.0,Bonababe Syrup,,,0.55,35
166,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",17,Emzolyn Cough Syrup Child,5.0,Greentol Lozenges Red,,,0.06,132
167,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",18,Supermag 200ml Suspension,4.0,Meloxicam 7.5mg Tablet Nuub,,,0.03,59
168,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",19,Curefenac 100mg,3.0,Panadol Extra,1.0,29,0.54,65
169,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",20,Inflanil Tablet,3.0,M&B Ibuprofen Syrup,,,0.03,32
170,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",21,Prednisolone Tablet KPI x200,3.0,Ibucap Cold & Flu 100ml Syrup,,,0.09,64
171,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",22,Gestid 200ml Suspension,3.0,Inflanil Tablet,3.0,20,0.03,36
172,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",23,Polygel 200ml Suspension ,2.0,Cof Off Adult,6.0,11,0.02,42
173,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",24,Koldblast Tablet,2.0,Polygel 200ml Suspension ,2.0,23,0.17,94
174,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",25,Loratyn 10mg Tablets x100,2.0,Tuxil D Adult 100ml Cough Syrup,24.0,4,0.18,84
175,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",26,Emzolyn Cough Syrup Adult,2.0,Coflin Expectorant x100ml,6.0,12,0.45,53
176,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",27,5% Dextrose saline 500ml x1,1.0,Ascorvit Vitamin C 100mg Tablets x1000,1.0,28,0.02,107
177,"""03bfc746-201a-44f9-81b0-5d1cdceedcd4""",28,Ascorvit Vitamin C 100mg Tablets x1000,1.0,Fidson Vitamin C 100ml Syrup,,,0.1,47
